event,tx_hash,block,timestamp,log_index,token_0_balance_after,token_1_balance_after,sender,recipient,amount0,amount1,sqrtPriceX96,liquidity,tick,token_0_balance_before,token_1_balance_before
Swap,48576a4483c01a19c4d27217d492ebc1670cecbf465f2c6dbbca5a3a9a561a54,5422596,1749579347,23,4.18278564829819,1177795.186873,0xEA1A08198D9F6271Defd91321b74422a779a9050,0xEA1A08198D9F6271Defd91321b74422a779a9050,-64675811742610659,2601385,502752091273013070257336,253293152038817,-239367,4.186315046805142,165.235147
Swap,9b95503159d949d76bac57c5c776e86cec0062a65936ba11a17e3b5d2460bd46,5422596,1749579347,30,21829.210224867325,165.379347,0xEA1A08198D9F6271Defd91321b74422a779a9050,0xEA1A08198D9F6271Defd91321b74422a779a9050,61146413235658280,-2457185,501983502416682118574101,253293152038817,-239398,4.18278564829819,1177795.186873
Swap,dd5efdf58c18dca1953264d5ce1dace985a73565697da7fd2ca8aa05b586cd00,5422597,1749579348,8,4.120139617076433,1176293.387562,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,-62646031221757340,2520065,502771365061397426970231,253293152038817,-239367,21829.210224867325,165.379347
Swap,867363a3ec2ca2cefa9f1cab41e6978c84ae7ee68da2b007938ec169a0e15edf,5422598,1749579349,3,21861.69172357416,1176293.387562,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,58668711373737840,-2357945,502033817853469680666416,253293152038817,-239396,4.120139617076433,1176293.387562
Swap,4160d6092e3b7f10fa1f9eba452f8bcb176b6cf85c4631d01fa9ecdf7ee4c25f,5422598,1749579349,21,4.127108869509769,1176293.387562,0xEA1A08198D9F6271Defd91321b74422a779a9050,0xEA1A08198D9F6271Defd91321b74422a779a9050,-51699458940401975,2079563,502683963965625131012473,253293152038817,-239370,21861.69172357416,1176293.387562
Swap,2cef6c7c5050168f953dc7159773c15f939fd737633598dace38f8d0d6630ac2,5422600,1749579351,12,4.155680298081197,166.472255,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,28571428571428672,-1148775,502324635824245300573966,253293152038817,-239384,4.127108869509769,1176293.387562
Swap,3a51bacc29ff5dc4bddb592b64845866927b7d1578ef0b234bd7b6b8ab737373,5422604,1749579355,13,4.173936823458044,1177149.75331,0x8336F3D8437e931B04c5214dd6c4BFbFaFeC2a78,0xC8819A6cE017139CceB5710b44be104667187A7C,18256525376847269,-733183,502095301781448749407412,253293152038817,-239394,4.155680298081197,166.472255
Swap,6e1cc6caede0cf52231c5915bb77f20a1b29fe675001d419497a80fa53239a8a,5422614,1749579364,20,4.13641564427449,1177149.75331,0x8d5899248Ea8b5805c2a62a9c02150f61b390f8c,0x8d5899248Ea8b5805c2a62a9c02150f61b390f8c,-37521179183554122,1509089,502567097131287013906900,253293152038817,-239375,4.173936823458044,1177149.75331
Swap,d5ff719dd0fec9a0e8695193cc69b924a8fd1fcc9dea9e34f2d15e8b782f123b,5423072,1749579815,10,21821.951186280705,1178132.85547,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,-100215455550271432,4044569,503831574630506203290252,253293152038817,-239324,4.13641564427449,1177149.75331
Swap,e1617a30c21248b09bc7069572db75eb318d21943a21a013f6b4a48a0cb91974,5423073,1749579816,6,21824.874558959742,168.768363,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,62551723819758310,-2524367,503041971880728085232664,253293152038817,-239356,21821.951186280705,1178132.85547
Swap,2b90379818a5b959115514dc4915e644567916233b3e220867f3d3162c4fb9b2,5423078,1749579821,19,21841.073417105472,1176747.898467,0xA022273e90889b1de5e47B6652c32c0595bcE662,0xA022273e90889b1de5e47B6652c32c0595bcE662,-9818563888562870,396116,503165811693078609828571,253293152038817,-239351,21824.874558959742,168.768363
Swap,66e0182c1ba8a9c5f2f6f18fa12d6ec66d0c46fe454f735085e0298926c2f9e5,5423102,1749579844,24,21851.903311947193,168.405834,0x8d5899248Ea8b5805c2a62a9c02150f61b390f8c,0x8d5899248Ea8b5805c2a62a9c02150f61b390f8c,18827720027721198,-758645,502928513254294141373103,253293152038817,-239360,21841.073417105472,1176747.898467
Swap,924336adb709e1cfe7b74be8f8fe82952a19bdeb49c1bc3970c90c04afd0fe88,5423149,1749579891,3,21851.903311947193,1176747.898467,0x4E2960a8cd19B467b82d26D83fAcb0fAE26b094D,0xF8E56a335fB76B769C81E84B05F63E46C928b417,-12398367038940385,500000,503084831235644208853925,253293152038817,-239354,21851.903311947193,168.405834
Swap,abb60d4c0dbf6ab2494334df9e2c51acc006412ed31013a81803ac09366a2aa8,5423317,1749580056,10,21851.903311947193,172.956181,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,-100152063214358400,4050347,504351115110735927781452,253293152038817,-239304,21851.903311947193,1176747.898467
Swap,87f9742738f337a96b3f976a60017cd9c0ee00e883c43c37ac7a33a02d79e6f4,5423318,1749580057,3,4.082950503774068,169.410249,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,87739865344231410,-3545932,503241974587358436909304,253293152038817,-239348,21851.903311947193,172.956181
Swap,c9dc0a23138a2f793e052655a0b0b51fa7b1160d7e7c6a2155642940f8093f15,5423632,1749580366,21,21803.18586995701,171.296066,0xA022273e90889b1de5e47B6652c32c0595bcE662,0xA022273e90889b1de5e47B6652c32c0595bcE662,-46663711137888917,1885817,503831548772009216484788,253293152038817,-239324,4.082950503774068,169.410249
Swap,543645ab7a7d1197a47dfc918923c220d2e754597be15a48c396f49c9233e0e6,5423638,1749580372,3,4.068986648946955,169.975428,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,32699856310775490,-1320638,503418463121963271936365,253293152038817,-239341,21803.18586995701,171.296066
Swap,faa338119ccb84108f7a579d1bd6464df48c438e9e7da251cdfb61d77c9fe84a,5423665,1749580398,9,21699.55231410134,169.29352,0x4E2960a8cd19B467b82d26D83fAcb0fAE26b094D,0x72677a609222443495385dEA8e0f8907aA5806B5,16905514402430297,-681908,503205167280705669129426,253293152038817,-239349,4.068986648946955,169.975428
Swap,b4f5acb13e0cf30cec6d9c13f9587d738741b049583fa95e38f3daa185ed6264,5423752,1749580484,8,4.011698925851545,172.29352,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,-74193237497839924,3000000,504143075168806074014362,253293152038817,-239312,21699.55231410134,169.29352
Swap,18ec9eb7cd8d670802e6c718cbcaece9c2b34871f2fea1412370c741aecbfec9,5423753,1749580485,3,21558.01828138611,1190981.73038,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,28571428571428672,-1155451,503781658748497400007082,253293152038817,-239326,4.011698925851545,172.29352
Swap,2bd2a1f661019a899422fb5c920ded6a3249180b2c21376a481f517ac1da7774,5423754,1749580486,8,4.101127631280255,1195108.339805,0x8d5899248Ea8b5805c2a62a9c02150f61b390f8c,0x8d5899248Ea8b5805c2a62a9c02150f61b390f8c,60857276857280640,-2455603,503013564823005375381010,253293152038817,-239357,21558.01828138611,1190981.73038
Swap,846415bb6e67b999268c732a7aef8ca87dcb41903bc011d26153bd87fd9da932,5423763,1749580495,8,21409.115509053918,1197274.472201,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,-74249717408699884,3000000,503951472711105780265946,253293152038817,-239320,4.101127631280255,1195108.339805
Swap,8113031745eaf4b292da1a6eb9e2fc24c7084c4ae061ee838b60b4ed67446379,5423764,1749580496,3,21375.570754368615,170.252029,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,35404089518955876,-1430437,503504042940628646093271,253293152038817,-239337,21409.115509053918,1197274.472201
Swap,e09be08f0d859c8514aee380528b876b22412ba8718773d8332ca361783c370e,5423992,1749580720,22,21329.793763350128,1200968.024093,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,28571428571428672,-1152525,503143541846940153741606,253293152038817,-239352,21375.570754368615,170.252029
Swap,d3d4b90516d07b10ba36e8a43c8bfd6b46f4e277bae006112ff7026edef19546,5424014,1749580741,8,4.0166420357639545,172.099504,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,-74211396197984771,3000000,504081449735040558626542,253293152038817,-239315,21329.793763350128,1200968.024093
Swap,243fa6d4edfc04cca8fd2c8dcee8d593c356950beb41bb57e83ce8c080e2feb6,5424015,1749580742,8,4.064223970340408,1198720.501386,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,47581934576454287,-1922864,503479992443326898368689,253293152038817,-239338,4.0166420357639545,172.099504
Swap,c65a5b977601c00d19d71d32d8de89b90fb6305631216095d0b2fcb597c1b6f8,5424047,1749580774,24,4.051844429904402,170.676977,0x4E2960a8cd19B467b82d26D83fAcb0fAE26b094D,0xF8E56a335fB76B769C81E84B05F63E46C928b417,-12379540436006891,500337,503636415522909549386627,253293152038817,-239332,4.064223970340408,1198720.501386
Swap,16828a8bac723d34d1b23d5ffc8f4af51f47f07ac77414f0ef57924104861649,5424264,1749580987,8,3.9777780787567094,173.676977,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,-74066351147692188,3000000,504574323411009954271563,253293152038817,-239295,4.051844429904402,170.676977
Swap,367d38168379dd25a14e33a61fd23a46c50876c5689c78570d35371c6d3d3743,5424265,1749580988,6,4.006349507328138,1206591.934879,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,28571428571428672,-1157428,504212288630943467318234,253293152038817,-239309,3.9777780787567094,173.676977
Swap,3d5c3e2db29faf308778c7fd1d2cfb2f61b3db6c25de059f7f85fc7af666d0b8,5424269,1749580992,8,4.018920357581053,1206571.434124,0x8d5899248Ea8b5805c2a62a9c02150f61b390f8c,0x8d5899248Ea8b5805c2a62a9c02150f61b390f8c,12570850252915511,-508719,504053165179027167893971,253293152038817,-239316,4.006349507328138,1206591.934879
Swap,d1ce5836ca066f64eb4ee380fb4f2eda1bbc3726f6571726ef9309f254369978,5424331,1749581053,8,21210.59609738288,174.438877,0xA022273e90889b1de5e47B6652c32c0595bcE662,0xA022273e90889b1de5e47B6652c32c0595bcE662,-59867709228142609,2428047,504812259684911604041284,253293152038817,-239286,4.018920357581053,1206571.434124
Swap,6ea9594ec75a1db23517b6b6bfd0f86cf1ebf73a33a4bcbee2ef5668dcd41faa,5424332,1749581054,3,4.035326807026746,171.3498,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,76274158673835364,-3089077,503846019894913155058519,253293152038817,-239324,21210.59609738288,174.438877
Swap,2c87d11c8eb0acb411dec6862eb16d8ee23b4aa26bb619b8c7d7ed6f4c5d208c,5424334,1749581056,10,3.960181528114162,174.396121,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,-75145278912584140,3046321,504798409130852607615611,253293152038817,-239286,4.035326807026746,171.3498
Swap,9227cd6ce4f624460c5a8f13bf4deaadd9c0b6fb9de3c02109a9fdb33ed8e890,5424335,1749581057,3,20931.02684087938,171.589201,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,69298922323754955,-2806920,503920425968710755893581,253293152038817,-239321,3.960181528114162,174.396121
Swap,3b94c3c5757b69fe599f71f1afc8027bbabd5e7e59ed7326644a5383e28195b7,5424349,1749581071,8,20948.936097448644,174.589201,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,-73982964327587522,3000000,504858333856811160778517,253293152038817,-239284,20931.02684087938,171.589201
Swap,3f0ea0a0028eb3479a0f2c8233dd292497c1084e38eba496b4cf6934f2d39a7c,5424350,1749581072,3,4.02574033018148,171.743441,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,70242844071150480,-2845760,503968201642890715832766,253293152038817,-239319,20948.936097448644,174.589201
Swap,ef32b224a52911429e402a97c6e0f9afcae805c29a90026ef456a10ca00a0ae5,5424461,1749581181,8,21011.94121065094,174.243441,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,-61659882283132772,2500000,504749791549641053236880,253293152038817,-239288,4.02574033018148,171.743441
Swap,61942472db8ab2d049f6174927edf5da3d3b22c1fe8c131bda8ec5a5f870a1cb,5424462,1749581182,3,4.022749159272085,171.866916,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,58668711373737840,-2376525,504006432653579961990865,253293152038817,-239318,21011.94121065094,174.243441
Swap,6a0c359818cfb10dc70628690e63336c95b578142cdc00841fdaacf0630771e6,5424463,1749581183,8,3.9610986237163632,174.366916,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,-61650535555721913,2500000,504788022560330299394979,253293152038817,-239287,4.022749159272085,171.866916
Swap,fbc05245e27a194817123d34fde1e4c25f8dd69d3b9ae83cf4297d0351b6fe09,5424464,1749581184,28,21039.97209691205,1213845.310086,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,57425021181328517,-2326571,504060288912102512970876,253293152038817,-239315,3.9610986237163632,174.366916
Swap,118c72ea54d3cd9ac578f3d39678a1a0a3d4419af7e5c086d9ada93306381b0b,5424495,1749581215,12,21074.472590057656,1212866.098622,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,-75138788562340877,3048651,505013406641445796057558,253293152038817,-239278,21039.97209691205,1213845.310086
Swap,0b014ba6f21942b8ac59daa0e129bd95e9d38891a472748ff89f9a571aec6555,5424496,1749581216,3,21074.472590057656,172.225412,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,70640128899704369,-2863584,504117699364786747842017,253293152038817,-239313,21074.472590057656,1212866.098622
Swap,0d55439db6f867b8b9afa2df013b70383278b215b4df8f5fbb949c7bfe78ee09,5424516,1749581235,8,21076.987806402543,1211773.331472,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,-73925126768370688,3000000,505055607252887152726953,253293152038817,-239276,21074.472590057656,172.225412
Swap,9ba405795a10395a9a935cb80b463d299131c4b062d794f1926c854398de64e7,5424517,1749581236,3,4.009398780790439,1209447.226871,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,69298922323754955,-2809778,504176729965225196733034,253293152038817,-239311,21076.987806402543,1211773.331472
Swap,01ae07488776e0e842b3c598bbba9970754e27f785b5f322ed53d000bcb54687,5424523,1749581242,8,21147.94412053471,175.415634,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,-73907833077771536,3000000,505114637853325601617970,253293152038817,-239274,4.009398780790439,1209447.226871
Swap,3bb52f9e103d0a597bffd65f451e88d3690fb5b01e8683ad993c6e2f8dae339e,5424524,1749581243,7,21147.94412053471,1209447.226871,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,70242844071150480,-2848648,504223602411661269573226,253293152038817,-239309,21147.94412053471,175.415634
Swap,ad04bb756a018c78af102965c03f2291c8e9ee68041be8196b55b090bf804337,5424611,1749581329,8,21147.94412053471,173.8005,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,-30416384598905661,1233514,504609243172546820642568,253293152038817,-239294,21147.94412053471,1209447.226871
Swap,7da3c41e2a2167b549e45abee1e0e52fcf4744ec14230a1d39c42e46498ab7b8,5424614,1749581332,8,21122.85288963305,1210615.726871,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,-73781308294480504,3000000,505547151060647225527504,253293152038817,-239256,21147.94412053471,173.8005
Swap,bf2165547885326d3b9cc447edfa1ae3cc8e62750b1b258e5bad10d37af74735,5424615,1749581333,3,21106.15528042649,1211393.476871,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,62551723819758310,-2541574,504752166109727059672074,253293152038817,-239288,21122.85288963305,1210615.726871
Swap,afcda28053c4762b969103ad748914b28b871cb2d29534c287ac52f30bd46af1,5424656,1749581373,11,21085.47723955559,175.600494,0xA022273e90889b1de5e47B6652c32c0595bcE662,0xA022273e90889b1de5e47B6652c32c0595bcE662,-33009388417777633,1341568,505171588445371604814310,253293152038817,-239271,21106.15528042649,1211393.476871
Swap,7e3186c521b1df8613d6a1175b1e6fb452d8aa58bc14359da1c9069cce899eaf,5424660,1749581377,4,21085.47723955559,1212350.164143,0x8336F3D8437e931B04c5214dd6c4BFbFaFeC2a78,0xC8819A6cE017139CceB5710b44be104667187A7C,18634139935628743,-756845,504934852947152208892379,253293152038817,-239281,21085.47723955559,175.600494
Swap,be67b68a0b6fe54acf73fe5b232ac4a02657589148291e7b5271036007735176,5424664,1749581381,28,3.9619100576575956,1212331.615895,0x8d5899248Ea8b5805c2a62a9c02150f61b390f8c,0x8d5899248Ea8b5805c2a62a9c02150f61b390f8c,12197483429553669,-495029,504780011400427026236845,253293152038817,-239287,21085.47723955559,1212350.164143
Swap,79c22ed222cd90367f7a98bb46e07551eb713cb1ad7d8de83cb2261faeee1377,5424742,1749581458,16,3.9755333819951133,1212323.847663,0x8d5899248Ea8b5805c2a62a9c02150f61b390f8c,0x8d5899248Ea8b5805c2a62a9c02150f61b390f8c,13623324337518015,-552538,504607181675494544972064,253293152038817,-239294,3.9619100576575956,1212331.615895
Swap,1f75e97853e865c550fe104bcbca8056986fe37169dad7bef62b00e88eec005c,5424796,1749581511,25,21086.288474831406,176.414738,0xA022273e90889b1de5e47B6652c32c0595bcE662,0xA022273e90889b1de5e47B6652c32c0595bcE662,-64418322767999351,2618656,505425867504838564423112,253293152038817,-239261,3.9755333819951133,1212323.847663
Swap,51f3f4bc882b488e34bcf0cb1e9ab7a5f9fae20542664cbadc63534aa7130539,5424797,1749581512,32,3.939686487798543,175.253401,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,28571428571428672,-1161337,505062610158609066126672,253293152038817,-239276,21086.288474831406,176.414738
Swap,4c51cda895e96e7c2a83f358d49c99e448a58c9e1ff688f734b090dee6b333db,5424948,1749581660,24,3.9060315856869288,1213188.142556,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,-33654902111614036,1369509,505490767846460041152924,253293152038817,-239259,3.939686487798543,175.253401
Swap,69974917970a13ea53cf847796da164334bcfc588eb9ff770edf3c52c22cbeb1,5424949,1749581661,9,3.939893844035284,175.246348,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,33862258348355261,-1376562,505060189633825797163013,253293152038817,-239276,3.9060315856869288,1213188.142556
Swap,d5ed6190fdb9f0a163d42fc0639809405a4e4cb11af4cde524764b4645a95edc,5424954,1749581666,9,3.9343164803729045,1213188.142556,0xfB3E7f78Eec7f50875e6Ba68C51de3E0BC8B0fD3,0xfB3E7f78Eec7f50875e6Ba68C51de3E0BC8B0fD3,-5577363662379416,226796,505131094031321336919834,253293152038817,-239273,3.939893844035284,175.246348
Swap,e1b92326bea976999bd9fb9f7a65a51390263f3c750512a66092913085566024,5424987,1749581699,10,3.8592007151590138,178.533834,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,-75115765213891021,3060690,506087975591119017929471,253293152038817,-239235,3.9343164803729045,1213188.142556
Swap,db3fadc31f326a698f3144cf06c9481a807d1268f6abefa365328c050d33c77c,5424988,1749581700,4,3.913408422000657,176.326116,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,54207706841643647,-2207718,505397418101963877119307,253293152038817,-239262,3.8592007151590138,178.533834
Swap,26986ae8ede16e1b477974a3a2bacda9c2df73b6ade2209782a7f0ef327f9014,5425023,1749581734,23,20964.193156701363,1217847.301863,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,-38303371524353587,1560919,505885417347161539109093,253293152038817,-239243,3.913408422000657,176.326116
Swap,c65be12685bea537195d3eec6635dc9e7c02b11c77925ce421b7d36622087b48,5425024,1749581735,23,20970.95984552139,1217695.415094,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,32056907657533984,-1305265,505477140198774495187179,253293152038817,-239259,20964.193156701363,1217847.301863
Swap,f53090c40c2fae45f1f341719439c5e0af8c60af60d38ce8d1393382c0e2f9a6,5425056,1749581766,19,3.8607557342200676,1223583.4965,0xA022273e90889b1de5e47B6652c32c0595bcE662,0xA022273e90889b1de5e47B6652c32c0595bcE662,-46406223913770140,1892106,506068680283400832889961,253293152038817,-239236,20970.95984552139,1217695.415094
